repo_id,name,full_name,owner,stars,created_at,pushed_at,html_url,default_branch,description,archived,size_kb,engine
565888539,BuscoClade,tomarovsky/BuscoClade,tomarovsky,5,2022-11-14T14:38:57+00:00,2026-03-10T16:52:01+00:00,https://github.com/tomarovsky/BuscoClade,master,Snakemake pipeline to construct species phylogenies using BUSCOs,false,993,snakemake
600248979,snakemake-workflow-fermi-lat,adonath/snakemake-workflow-fermi-lat,adonath,12,2023-02-10T23:24:06+00:00,2025-08-12T14:26:53+00:00,https://github.com/adonath/snakemake-workflow-fermi-lat,main,A Snakemake workflow for Fermi-LAT data reduction,false,93,snakemake
137376259,metaGEM,franciscozorrilla/metaGEM,franciscozorrilla,256,2018-06-14T15:26:05+00:00,2024-07-27T16:02:11+00:00,https://github.com/franciscozorrilla/metaGEM,master,:gem: An easy-to-use workflow for generating context specific genome-scale metabolic models and predicting metabolic interactions within microbial communities directly from metagenomic data,false,275136,snakemake
666426309,3t-seq,boulardlab/3t-seq,boulardlab,8,2023-07-14T13:40:54+00:00,2026-03-04T21:35:09+00:00,https://github.com/boulardlab/3t-seq,main,"A Snakemake workflow for single copy gene, transposable elements and tRNA expression analysis",false,47196,snakemake
322905846,melange,sandragodinhosilva/melange,sandragodinhosilva,5,2020-12-19T17:53:21+00:00,2025-01-03T18:18:24+00:00,https://github.com/sandragodinhosilva/melange,master,Melange - Snakemake workflow for genome annotation,false,96614,snakemake
350342694,atacseq_pipeline,epigen/atacseq_pipeline,epigen,97,2021-03-22T12:53:47+00:00,2025-11-25T16:08:01+00:00,https://github.com/epigen/atacseq_pipeline,main,"Ultimate ATAC-seq Data Processing, Quantification and Annotation Snakemake Workflow and MrBiomics Module.",false,48644,snakemake
57330209,sunbeam,sunbeam-labs/sunbeam,sunbeam-labs,175,2016-04-28T20:01:34+00:00,2026-03-09T05:36:26+00:00,https://github.com/sunbeam-labs/sunbeam,main,"A robust, extensible metagenomics pipeline",false,22034,snakemake
294732111,rna-seq-pop,sanjaynagi/rna-seq-pop,sanjaynagi,18,2020-09-11T15:27:14+00:00,2026-02-17T12:19:06+00:00,https://github.com/sanjaynagi/rna-seq-pop,master,Snakemake workflow for Illumina RNA-sequencing experiments - extract population genomic signals from RNA-Seq data,false,105693,snakemake
369498279,mapache,sneuensc/mapache,sneuensc,34,2021-05-21T10:26:43+00:00,2026-02-20T07:55:06+00:00,https://github.com/sneuensc/mapache,master,mapping pipeline for ancient DNA,false,1658,snakemake
472805431,Genome_assembly_annotation,wzuhou/Genome_assembly_annotation,wzuhou,9,2022-03-22T14:31:04+00:00,2024-09-24T13:54:08+00:00,https://github.com/wzuhou/Genome_assembly_annotation,main,Scripts and pipeine for Genome_assembly_annotation,false,150,snakemake
754764775,TWILIGHT,TurakhiaLab/TWILIGHT,TurakhiaLab,27,2024-02-08T18:15:31+00:00,2026-02-10T20:45:40+00:00,https://github.com/TurakhiaLab/TWILIGHT,main,High throughput tool for tall and wide multiple sequence alignment.,false,45575,snakemake
87865971,sv-callers,GooglingTheCancerGenome/sv-callers,GooglingTheCancerGenome,82,2017-04-10T23:12:15+00:00,2025-02-14T15:59:09+00:00,https://github.com/GooglingTheCancerGenome/sv-callers,master,Snakemake-based workflow for detecting structural variants in genomic data,false,220582,snakemake
665587139,SpikeFlow,DavideBrex/SpikeFlow,DavideBrex,15,2023-07-12T14:30:10+00:00,2025-09-18T14:27:22+00:00,https://github.com/DavideBrex/SpikeFlow,main,"Pipeline to analyse ChIP-Rx data, i.e ChIP-Seq with reference exogenous genome spike-in normalization",false,757823,snakemake
203868414,rnaseq_workflow,vari-bbc/rnaseq_workflow,vari-bbc,13,2019-08-22T20:30:00+00:00,2026-02-27T21:30:15+00:00,https://github.com/vari-bbc/rnaseq_workflow,master,snakemake workflow for bulk RNA-seq workflow using STAR-edgeR ,false,112235,snakemake
383262428,nextclade_data_workflows,neherlab/nextclade_data_workflows,neherlab,5,2021-07-05T20:55:57+00:00,2026-01-12T12:40:25+00:00,https://github.com/neherlab/nextclade_data_workflows,master,,false,7275,snakemake
475465311,unsupervised_analysis,epigen/unsupervised_analysis,epigen,63,2022-03-29T13:52:23+00:00,2026-03-10T15:59:14+00:00,https://github.com/epigen/unsupervised_analysis,main,A general purpose Snakemake workflow and MrBiomics module to perform unsupervised analyses (dimensionality reduction & cluster analysis) and visualizations of high-dimensional data.,false,58696,snakemake
272558705,quaich,open2c/quaich,open2c,22,2020-06-15T22:42:37+00:00,2024-06-27T08:41:55+00:00,https://github.com/open2c/quaich,master,snakemake pipeline for Hi-C post-processing,false,226,snakemake
401301588,zarp,zavolanlab/zarp,zavolanlab,36,2021-08-30T10:21:36+00:00,2026-01-29T09:21:09+00:00,https://github.com/zavolanlab/zarp,dev,The Zavolab Automated RNA-seq Pipeline,false,28335,snakemake
377527671,enrichment_analysis,epigen/enrichment_analysis,epigen,73,2021-06-16T14:38:00+00:00,2026-03-06T14:16:34+00:00,https://github.com/epigen/enrichment_analysis,main,"A Snakemake workflow and MrBiomics module for performing genomic region set and gene set enrichment analyses using LOLA, GREAT, GSEApy, pycisTarget and RcisTarget.",false,1922,snakemake
951923271,rnaseq_pipeline,epigen/rnaseq_pipeline,epigen,42,2025-03-20T13:05:14+00:00,2025-08-05T11:01:48+00:00,https://github.com/epigen/rnaseq_pipeline,main,"RNA-seq Data Processing, Quantification and Annotation Snakemake Workflow and MrBiomics Module.",false,108,snakemake
438295259,MAPP,gruber-sciencelab/MAPP,gruber-sciencelab,9,2021-12-14T15:02:02+00:00,2024-03-27T19:38:01+00:00,https://github.com/gruber-sciencelab/MAPP,main,🗺️ MAPP is a computational method which enables identification of binding motifs for RNA-binding proteins that shape pre-mRNA processing under specific conditions.,false,2514,snakemake
309495236,snakebids,khanlab/snakebids,khanlab,22,2020-11-02T21:07:08+00:00,2026-03-10T04:56:51+00:00,https://github.com/khanlab/snakebids,main,Snakemake + BIDS,false,2816,snakemake
468752490,scrnaseq_processing_seurat,epigen/scrnaseq_processing_seurat,epigen,56,2022-03-11T13:01:17+00:00,2026-01-29T12:38:13+00:00,https://github.com/epigen/scrnaseq_processing_seurat,master,A Snakemake workflow and MrBiomics module for processing and visualizing (multimodal) sc/snRNA-seq data generated with 10X Genomics Kits or in the MTX matrix file format powered by the R package Seurat.,false,1319,snakemake
659800258,spilterlize_integrate,epigen/spilterlize_integrate,epigen,52,2023-06-28T15:29:25+00:00,2026-01-09T14:09:02+00:00,https://github.com/epigen/spilterlize_integrate,main,"A Snakemake workflow and MrBiomics module to split, filter, normalize, integrate and select highly variable features of count matrices resulting from next-generation sequencing (NGS) experiments (e.g., RNA-seq, ATAC-seq, ChIP-seq, Methyl-seq, miRNA-seq,...) including confounding factor analysis and diagnostic visualizations.",false,145,snakemake
743443557,snakemake-ont-bacterial-variants,MPUSP/snakemake-ont-bacterial-variants,MPUSP,7,2024-01-15T08:50:44+00:00,2026-02-11T07:59:27+00:00,https://github.com/MPUSP/snakemake-ont-bacterial-variants,main,A Snakemake workflow for the identification of variants in bacterial genomes using nanopore long-read sequencing.,false,30236,snakemake
