repo_id,pr_id,issue_id
320339763,210,209
320339763,182,174
320339763,182,176
320339763,182,177
320339763,182,178
320339763,182,180
320339763,182,181
320339763,141,140
320339763,138,130
245204245,359,358
245204245,319,320
415950509,382,345
415950509,382,366
415950509,382,367
415950509,382,387
415950509,379,367
415950509,349,346
415950509,349,352
415950509,349,358
415950509,341,325
415950509,330,324
415950509,322,272
415950509,322,323
415950509,318,301
415950509,318,312
415950509,315,186
415950509,315,312
415950509,274,179
415950509,274,252
415950509,274,271
415950509,274,272
415950509,274,280
415950509,274,283
415950509,264,223
415950509,244,111
415950509,244,134
415950509,244,207
415950509,244,209
415950509,244,225
415950509,244,239
415950509,244,240
415950509,244,245
415950509,244,246
415950509,217,177
415950509,196,195
415950509,187,159
763453783,84,82
763453783,45,35
763453783,45,36
763453783,45,38
763453783,45,39
763453783,45,40
418533717,310,227
418533717,268,267
418533717,266,263
418533717,264,251
418533717,238,237
418533717,232,226
418533717,229,228
418533717,214,213
418533717,191,160
418533717,190,175
418533717,189,170
418533717,188,158
418533717,187,177
692013165,55,42
692013165,46,40
692013165,45,38
692013165,37,4
692013165,36,32
692013165,35,30
692013165,34,33
692013165,29,24
692013165,28,27
692013165,26,1
692013165,20,9
692013165,13,2
183046092,77,73
183046092,51,37
709207344,140,39
709207344,139,39
709207344,130,118
709207344,128,123
709207344,125,124
709207344,122,97
709207344,121,113
709207344,120,119
709207344,115,113
709207344,93,78
709207344,92,80
709207344,86,53
